node,final_opinion,threshold,itr0,itr1,itr2,itr3
0,A,1,A,A,A,A
1,B,1,B,B,B,B
2,B,2,B,B,B,B
3,A,2,A,A,A,A
4,B,2,B,B,B,B
5,D,2,D,D,D,D
6,B,1,B,B,B,B
7,C,2,C,C,C,C
8,B,1,B,B,B,B
9,D,2,D,D,D,D
10,C,1,C,C,C,C
11,A,2,A,A,A,A
12,C,1,D,C,C,C
13,C,2,C,C,C,C
14,B,1,A,B,B,B
15,B,2,B,B,B,B
16,A,2,A,A,A,A
17,C,1,C,C,C,C
18,B,1,B,B,B,B
19,C,2,C,C,C,C
20,D,2,D,D,D,D
21,C,2,C,C,C,C
22,B,1,B,B,B,B
23,C,1,D,C,C,C
24,C,2,C,C,C,C
25,C,1,C,C,C,C
26,B,1,B,B,B,B
27,B,1,B,B,B,B
28,C,1,C,C,C,C
29,C,1,D,C,C,C
30,A,2,A,A,A,A
31,B,1,B,B,B,B
32,B,1,B,B,B,B
33,B,1,A,B,B,B
34,B,1,D,C,B,B
35,C,1,C,C,C,C
36,B,2,B,B,B,B
37,C,1,C,C,C,C
38,D,2,D,D,D,D
39,C,2,C,C,C,C
40,B,1,A,B,B,B
41,A,2,A,A,A,A
42,B,2,B,B,B,B
43,A,2,A,A,A,A
44,B,1,B,B,B,B
45,B,1,B,B,B,B
46,B,1,B,B,B,B
47,B,1,B,B,B,B
48,A,2,A,A,A,A
49,B,1,B,B,B,B
50,B,1,B,B,B,B
51,B,1,B,B,B,B
52,A,2,A,A,A,A
53,B,1,B,B,B,B
54,B,2,B,B,B,B
55,D,2,D,D,D,D
56,A,2,A,A,A,A
57,B,1,B,B,B,B
58,A,1,A,A,A,A
59,B,1,B,B,B,B
60,C,1,D,C,C,C
61,B,1,B,B,B,B
62,A,2,A,A,A,A
63,A,2,A,A,A,A
64,C,2,C,C,C,C
65,B,2,B,B,B,B
66,C,2,C,C,C,C
67,B,2,B,B,B,B
68,C,1,C,C,C,C
69,C,1,C,C,C,C
70,B,1,B,B,B,B
71,C,1,D,C,C,C
72,B,2,B,B,B,B
73,C,2,C,C,C,C
74,B,2,B,B,B,B
75,C,2,C,C,C,C
76,D,2,D,D,D,D
77,B,1,B,B,B,B
78,D,2,D,D,D,D
79,D,2,D,D,D,D
80,D,2,D,D,D,D
81,A,1,A,A,A,A
82,C,2,C,C,C,C
83,B,1,B,B,B,B
84,C,1,D,C,C,C
85,B,1,B,B,B,B
86,C,1,D,C,C,C
87,C,2,C,C,C,C
88,A,2,A,A,A,A
89,B,1,B,B,B,B
90,B,1,B,B,B,B
91,C,2,C,C,C,C
92,A,2,A,A,A,A
93,B,1,B,B,B,B
94,A,2,A,A,A,A
95,A,2,A,A,A,A
96,C,1,D,C,C,C
97,B,1,B,B,B,B
98,A,2,A,A,A,A
99,B,2,B,B,B,B
